SUBJECT CODE,SUBJECT NAME,CATEGORY,YEAR
CSIT110,Fundamental Programming with Python,CORE,2025
CSIT123,Computing and Cyber Security Fundamentals,CORE,2025
CSIT114,System Analysis,CORE,2025
CSIT115,Data Management and Security,CORE,2025
CSIT121,Object Oriented Design and Programming,CORE,2025
CSIT127,Networks and Communications,CORE,2025
CSIT128,Introduction to Web Technology,CORE,2025
CSCI235,Database Systems,CORE,2025
CSIT214,IT Project Management,CORE,2025
CSIT205,Generative AI,CORE,2025
CSCI203,Algorithms and Data Structures,CORE,2025
CSIT226,Human Computer Interaction,CORE,2025
CSIT314,Software Development Methodologies,CORE,2025
CSCI251,Advanced Programming,Core Selection,2025
CSIT213,Java Programming,Core Selection,2025
CSIT321,Project,Capstone - Annual Session,2025
CSCI218,Foundations of Artificial Intelligence,Artificial Intelligence and Big Data,2025
CSCI323,Modern Artificial Intelligence,Artificial Intelligence and Big Data,2025
ISIT312,Big Data Management,Artificial Intelligence and Big Data,2025
CSCI316,Big Data Mining Techniques and Implementation,Artificial Intelligence and Big Data,2025
CSCI262,System Security,Cyber Security,2025
CSIT375,Artificial Intelligence for Cybersecurity,Cyber Security,2025
CSCI369,Ethical Hacking,Cyber Security,2025
CSIT302,Cybersecurity,Cyber Security,2025
CSCI262,System Security,Digital Systems Security,2025
CSCI361,Cryptography and Secure Applications,Digital Systems Security,2025
CSCI368,Network Security,Digital Systems Security,2025
CSIT328,Web Security,Digital Systems Security,2025
CSIT242,Mobile Application Development,Game and Mobile Development,2025
CSCI336,Interactive Computer Graphics,Game and Mobile Development,2025
CSCI356,Game Engine Essentials,Game and Mobile Development,2025
CSCI388,Virtual and Augmented Reality,Game and Mobile Development,2025
CSCI318,Software Engineering Practices & Principles,Software Engineering,2025
CSCI334,Software Design,Software Engineering,2025
CSIT377,Enterprise Web Development,Software Engineering,2025
ISIT219,Knowledge and Information Engineering,Software Engineering,2025
